Name,Club,Position,Overall
Guillermo Burdisso,Uni. Católica,CB,70
Wouter Burger,Stoke City,CM,70
Reece Burke,Luton Town,CB,70
Maxime Busi,Stade de Reims,RB,70
Zymer Bytyqi,Antalyaspor,LM,70
Johan Caballero,Águilas Doradas,LW,70
Alejandro Cabeza,CS Emelec,ST,70
Gonzalo Verdú,FC Cartagena,CB,70
Mattia Caldara,Milan,CB,70
Franco Calderón,Unión,CB,70
Tyrese Campbell,Stoke City,ST,70
Maximiliano Cantera,Atl. Nacional,CAM,70
Marco Capuano,Ternana,CB,70
Antonio Caracciolo,Pisa,CB,70
Andrea Carboni,Monza,CB,70
Gonzalo Carneiro,Nacional,ST,70
Lionel Carole,Kayserispor,LB,70
Rafael Carrascal,Cerro Porteño,CM,70
Adalberto Carrasquilla,Houston Dynamo,CM,70
Guido Carrillo,Estudiantes,ST,70
Rasmus Carstensen,1. FC Köln,RB,70
Santiago Cáseres,Vélez Sarsfield,CDM,70
Eíran Cashin,Derby County,CB,70
Michele Castagnetti,Cremonese,CDM,70
Gonzalo Castellani,Defensa,CAM,70
Jesús Castillo,Gil Vicente,CDM,70
Assan Ceesay,Damac FC,ST,70
Luca Ceppitelli,Feralpisalò,CB,70
Adam Gnezda Čerin,Panathinaikos,CM,70
Mert Çetin,MKE Ankaragücü,CB,70
Edwuin Cetré,Indep. Medellín,RM,70
Ricardo Mangas,Vitória SC,LWB,70
Timmy Chandler,Frankfurt,RM,70
Anastasios Chatzigiovanis,MKE Ankaragücü,LM,70
Choi Young Joon,Jeju United,CDM,70
Max Christiansen,Hannover 96,CDM,70
Dmytro Chyhrynskyi,Shakhtar Donetsk,CB,70
Jhon Cifuente,Aucas,ST,70
Ibrahim Cissé,Ferencvárosi TC,CB,70
Leighton Clarkson,Aberdeen,CM,70
Elias Cobbaut,KV Mechelen,CB,70
Maxime Colin,FC Metz,RWB,70
Lucas Colitto,Barracas Central,LM,70
Álex Collado,Al Okhdood,RM,70
Aaron Collins,Bristol Rovers,ST,70
Sébastien Corchia,Amiens SC,RB,70
Kamil Çörekçi,Hatayspor,RB,70
Mateo Coronel,Atlético Tucumán,ST,70
Washington Corozo,Sporting Cristal,LW,70
Rober Correa,SD Eibar,RB,70
Àlex Corredera,CD Tenerife,CM,70
Guzmán Corujo,Charlotte FC,CB,70
Aldo Corzo,Universitario,CB,70
Logan Costa,Toulouse FC,CB,70
Gabriel Costa,Alianza Lima,RM,70
Matteo Cotali,Modena,LB,70
Gaëtan Courtet,En Avant Guingamp,ST,70
José Crespo,Apoel FC,CB,70
Charlie Cresswell,Leeds United,CB,70
Joffrey Cuffaut,Valenciennes FC,CB,70
Jason Cummings,ATK Mohun Bagan,ST,70
Pedro Sá,Estrela Amadora,CDM,70
Wylan Cyprien,Parma,CM,70
Marco D'Alessandro,Pisa,LM,70
João Gamboa,Pogoń Szczecin,CDM,70
Leonardo Lopes,Cercle Brugge,CM,70
Gustavo,Jeonbuk Hyundai,ST,70
Mats Møller Dæhli,1. FC Nürnberg,CAM,70
Harry Darling,Swansea City,CB,70
Lukas Daschner,VfL Bochum,ST,70
Mohammed Dauda,CD Tenerife,LM,70
Ulises Dávila,Macarthur FC,CAM,70
Leif Davis,Ipswich,LB,70
De La Fuente,Levante UD,CB,70
Hernán De La Fuente,Atlético Tucumán,RB,70
Pedrão,Portimonense SC,CB,70
Afonso Sousa,Lech Poznań,CAM,70
Nicolas De Préville,ESTAC Troyes,ST,70
Fabiano Souza,Moreirense FC,RB,70
Jordy de Wijs,Düsseldorf,CB,70
Ciprian Deac,CFR 1907 Cluj,CM,70
Del Moral,Villarreal CF B,CM,70
Mark Delgado,LA Galaxy,CDM,70
Olivier Deman,SV Werder Bremen,LM,70
Muhammet Demir,Konyaspor,ST,70
Alec Deneumostier,FBC Melgar,CB,70
Nelson Deossa,Atl. Nacional,CM,70
Halil İbrahim Dervişoğlu,Galatasaray,ST,70
Valerio Di Cesare,Bari,CB,70
Matteo Di Giusto,FC Winterthur,CAM,70
Abdoulay Diaby,Pendikspor,RM,70
Ismaël Chester Diallo,Hajduk Split,LB,70
Moussa Diarra,Toulouse FC,LB,70
Juan Cruz,Real Betis,LM,70
Pedro Díaz,Bordeaux,CM,70
Bakaye Dibassy,Minnesota United,CB,70
Famara Diédhiou,Granada CF,ST,70
Kevin Diks,F.C. København,RB,70
Mohammed Diomande,FC Nordsjælland,CM,70
Federico Dionisi,Ternana,ST,70
George Dobson,Charlton Ath,CDM,70
Tyrhys Dolan,Blackburn Rovers,RM,70
Alfredo Donnarumma,Catanzaro,ST,70
Jonathan Dos Santos,River Plate,ST,70
Lucas João,Shanghai Port,ST,70
Daniel Penha,Western United,CAM,70
Ismaël Doukouré,Strasbourg,CB,70
Artem Dovbyk,Girona FC,ST,70
Nikola Dovedan,Heidenheim,CF,70
Mohamed Dräger,FC Basel 1893,RB,70
Radu Drăgușin,Genoa,CB,70
Cody Drameh,Birmingham City,RB,70
Ibrahim Drešević,Karagümrük SK,CB,70
Josip Drmić,Dinamo Zagreb,ST,70
Vladyslav Dubinchak,Dynamo Kyiv,LB,70
Jeremy Dudziak,Hertha Berlin,CAM,70
Marko Dugandžić,Al Tai,ST,70
Jimmy Dunne,QPR,CB,70
Jefferson Duque,Atl. Nacional,ST,70
Erik Durm,Kaiserslautern,RB,70
Lyndon Dykes,QPR,ST,70
Farid El Melali,Angers SCO,RM,70
Eren Elmalı,Trabzonspor,LB,70
Julio César Enciso,Brighton,LM,70
Eraso,SD Amorebieta,CM,70
Andrey Estupiñán,Junior,LM,70
Ched Evans,Preston,ST,70
Diego Fagundez,LA Galaxy,LM,70
Franco Fagúndez,Nacional,CAM,70
Cláudio Falcão,Farense,CM,70
Maximiliano Falcón,Colo-Colo,CB,70
Mamadou Fall,FC Barcelona,CB,70
Kaiky,UD Almería,CB,70
Tomané,Apoel FC,ST,70
Julián Fernández,Lanús,CDM,70
Matías Fernández,Independiente DV,RWB,70
Nicolás Fernández,Elche CF,LWB,70
Fernando Fernández,Cerro Porteño,ST,70
Roberto Nicolás Fernández,Godoy Cruz,CM,70
Álvaro Fernández,Granada CF,LWB,70
Gianluca Ferrari,Godoy Cruz,CB,70
Jota Silva,Vitória SC,RW,70
Nicolás Ferreyra,Bolívar,CB,70
Dominik Fitz,FK Austria Wien,CAM,70
Edison Flores,Universitario,CAM,70
Mamadou Fofana,Amiens SC,CB,70
Moryké Fofana,Samsunspor,LM,70
Michael Folorunsho,Hellas Verona,CM,70
Fontàs,Sporting KC,CB,70
Carlos Forbs,Ajax,LW,70
Marcus Forss,Middlesbrough,ST,70
Francesco Forte,Cosenza,ST,70
Rodrigo Martins,Estoril Praia,LW,70
Iver Fossum,FC Midtjylland,CM,70
Matija Frigan,KVC Westerlo,ST,70
Ruben Gabrielsen,Lillestrøm SK,CB,70
Pablo Galdames,Genoa,CM,70
Sam Gallagher,Blackburn Rovers,ST,70
Mattheus Oliveira,Farense,CAM,70
Lucas Gamba,Central Córdoba,ST,70
Fran Gámez,Real Zaragoza,RB,70
Cristian Ganea,FCSB,LB,70
Diego García,CS Emelec,LM,70
Imanol,Athletic Club,LB,70
Juanma García,Albacete BP,RM,70
Óscar Pinchi,Çaykur Rizespor,LM,70
Walter Gargano,River Plate,CDM,70
Stefan Gartenmann,Aberdeen,CB,70
Jusuf Gazibegović,SK Sturm Graz,RB,70
César Gelabert,Toulouse FC,CM,70
Jérémy Gélin,Amiens SC,CDM,70
Denis Genreau,Toulouse FC,CM,70
Pieter Gerkens,KAA Gent,CM,70
Abdulrahman Ghareeb,Al Nassr,LM,70
Lautaro Giaccone,Rosario Central,RM,70
Benedikt Gimber,Heidenheim,CDM,70
Milton Giménez,Banfield,ST,70
Daniel Ginczek,Düsseldorf,ST,70
Josh Ginnelly,Swansea City,ST,70
Federico Girotti,San Lorenzo,ST,70
Goh Young Jun,Pohang Steelers,CAM,70
Camacho,Moreirense FC,LW,70
Roderick Miranda,Melb. Victory,CB,70
Gastón González,Orlando City,LM,70
Oumar Gonzalez,Al Raed,CB,70
Joan González,Lecce,CM,70
Diego González,Elche CF,CB,70
Borja Bastón,R. Oviedo,ST,70
Jaume Grau,Real Zaragoza,CDM,70
Anto Grgić,FC Lugano,CDM,70
Andreas Gruber,FK Austria Wien,RM,70
Marc Gual,Legia Warszawa,ST,70
Guerrero,FC Zürich,LM,70
Evann Guessand,OGC Nice,ST,70
Tomás Guidara,Vélez Sarsfield,RB,70
Guima,GD Chaves,CM,70
Rafik Guitane,Estoril Praia,RW,70
Simon Gustafson,BK Häcken,CM,70
Kevin Gutiérrez,Defensa,CDM,70
Yeison Guzmán,Deportes Tolima,CAM,70
Ha Chang Rae,Pohang Steelers,CB,70
Hayden Hackney,Middlesbrough,CM,70
Florent Hadergjonaj,Alanyaspor,RB,70
Kian Hansen,FC Nordsjælland,CB,70
Emil Hansson,Heracles Almelo,LW,70
Hákon Arnar Haraldsson,LOSC Lille,CF,70
Doğucan Haspolat,KVC Westerlo,CDM,70
Kristoffer Haugen,Molde FK,LWB,70
Kylian Hazard,RWD Molenbeek,LW,70
Michael Hector,Charlton Ath,CB,70
Ryan Hedges,Blackburn Rovers,RM,70
Matt Hedges,Austin FC,CB,70
Simon Hedlund,IF Elfsborg,RW,70
Gauthier Hein,AJ Auxerre,RM,70
Rouwen Hennings,SV Sandhausen,ST,70
Vladimir Hernández,Junior,LM,70
Javi Hernández,Cádiz CF,LB,70
Moritz Heyer,Hamburger SV,RB,70
Scott Hogan,Birmingham City,ST,70
Libor Holík,Viktoria Plzeň,RB,70
Emil Holm,Bergamo Calcio,RM,70
Carlo Holse,Samsunspor,RW,70
Gerrit Holtmann,Antalyaspor,LM,70
Hong Chul,Daegu FC,LWB,70
Mathias Honsak,SV Darmstadt 98,LM,70
Jannes Horn,1. FC Nürnberg,LB,70
Majid Hosseini,Kayserispor,CB,70
Jonny Howson,Middlesbrough,CM,70
Andrew Hughes,Preston,CB,70
Niklas Hult,IF Elfsborg,LB,70
Adrien Hunou,Angers SCO,ST,70
Romario Ibarra,R. Oviedo,LM,70
Pietro Iemmello,Catanzaro,ST,70
Jesús Imaz,Jagiellonia,ST,70
Kastriot Imeri,BSC Young Boys,CM,70
Juan Infante,Platense,LB,70
Emanuel Insua,Banfield,LB,70
Insua,R. Sporting,CB,70
Andrei Ivan,Univ. Craiova,LM,70
Lachlan Jackson,Suwon FC,CB,70
Filip Jagiełło,Genoa,CM,70
Ablie Jallow,FC Metz,RM,70
Robin Jansson,Orlando City,CB,70
Leonardo Jara,Vélez Sarsfield,RB,70
Adis Jasic,Wolfsberger AC,RWB,70
Corentin Jean,Inter Miami CF,RM,70
Artur Jędrzejczyk,Legia Warszawa,CB,70
Reinier,Frosinone,RM,70
Jesús Jiménez,FC Dallas,ST,70
Dennis Johnsen,Venezia,ST,70
Daniel Johnson,Stoke City,CAM,70
Ju Se Jong,Daejeon Citizen,CM,70
Simen Juklerød,Vålerenga Fotball,LWB,70
Jhojan Julio,LDU Quito,CAM,70
Sory Kaba,UD Las Palmas,ST,70
Hassan Kadish,Al Ittihad,CB,70
Yayah Kallon,Hellas Verona,CF,70
Samuel Kalu,Lausanne-Sport,LM,70
Kei Kamara,Chicago Fire FC,ST,70
Takuro Kaneko,Dinamo Zagreb,RW,70
Kang Sang Woo,Beijing Guoan,LM,70
Kenan Karaman,FC Schalke 04,RW,70
Mandela Keita,Royal Antwerp FC,CDM,70
Cheick Keita,SC Bastia,CB,70
Martin Kelly,West Brom,CB,70
Reda Khadra,Stade de Reims,LM,70
Kim Kee Hee,Ulsan Hyundai,CB,70
Kim Do Hyeok,Incheon United,CM,70
Kim Jin Hyuk,Daegu FC,CB,70
Stephen Kingsley,Hearts,CB,70
Joshua Kitolano,Sparta Rotterdam,CM,70
Sofian Kiyine,OH Leuven,LM,70
Philipp Klement,Kaiserslautern,CAM,70
Ko Jae Hyeon,Daegu FC,RW,70
Moussa Koné,LASK,ST,70
Ibrahima Koné,UD Almería,ST,70
Terence Kongolo,SK Rapid Wien,CB,70
Giannis Konstantelias,PAOK FC,CAM,70
Leonardo Koutris,Pogoń Szczecin,LB,70
Viktor Kovalenko,Empoli,CM,70
Kacper Kozłowski,Vitesse,LM,70
Kazuki Kozuka,Suwon Samsung,CM,70
Michiel Kramer,RKC Waalwijk,ST,70
Matías Kranevitter,River Plate,CDM,70
Joaquín Laso,Independiente,CB,70
Josh Laurent,Stoke City,CDM,70
Julien Le Cardinal,Stade Brestois 29,RWB,70
Antoine Leautey,Amiens SC,RW,70
Lee Han Beom,FC Midtjylland,CB,70
Lee Yeong Jae,Suwon FC,CM,70
Lee Jin Hyun,Daejeon Citizen,CM,70
Lee Chung Yong,Ulsan Hyundai,LM,70
Robert Leipertz,SC Paderborn 07,ST,70
Toni Leistner,Hertha Berlin,CB,70
Tomás Araújo,SL Benfica,CB,70
Brayan León,Indep. Medellín,ST,70
Luis Fernando León,CS Emelec,CB,70
Ryan Leonard,Millwall,CDM,70
Oscar Lewicki,Malmö FF,CDM,70
Liu Binbin,Shandong Taishan,LM,70
Gautier Lloris,Havre AC,CB,70
Saba Lobjanidze,Atlanta United,RW,70
Joe Lolley,Sydney FC,RW,70
Santiago Longo,Belgrano,CDM,70
Pablo López,River Plate,CAM,70
Julien Lopez,Paris FC,LM,70
Marcos López,Feyenoord,LB,70
Lluís López,Real Zaragoza,CB,70
Jhilmar Lora,Sporting Cristal,RB,70
Daniel Lovitz,Nashville SC,LWB,70
Jamal Lowe,Swansea City,ST,70
Leandro Lozano,Nacional,RB,70
Gustav Ludwigson,Ulsan Hyundai,RW,70
Gonzalo Luján,San Lorenzo,CB,70
Fabian Lustenberger,BSC Young Boys,CB,70
Lefteris Lyratzis,PAOK FC,RB,70
Matej Maglica,SV Darmstadt 98,CB,70
Raffaele Maiello,Bari,CM,70
Cephas Malele,Shanghai Shenhua,ST,70
Yunus Mallı,Konyaspor,CAM,70
Facundo Mallo,Rosario Central,CB,70
Maurice Malone,FC Basel 1893,ST,70
Leonardo Mancuso,Palermo,ST,70
Thomas Mangani,AC Ajaccio,CDM,70
Myziane Maolida,Hertha Berlin,LM,70
Sékou Mara,Southampton,ST,70
Nikola Maraš,D. Alavés,CB,70
Vincent Marchetti,AC Ajaccio,CDM,70
Emiliano Marcondes,AFC Bournemouth,CAM,70
Oscar Taty Maritu,Cangzhou FC,RW,70
Iván Márquez,1. FC Nürnberg,CB,70
José Mari,Cádiz CF,CDM,70
Javi Martínez,SD Huesca,CM,70
Álex Martínez,CD Eldense,LB,70
Ángelo Martino,Newell's,LB,70
Iván Martos,SD Huesca,LB,70
Aleš Matějů,Palermo,RB,70
Facundo Mater,Barracas Central,RB,70
Marc Mateu,CD Eldense,LM,70
Uroš Matić,Abha Club,CDM,70
Henning Matriciani,FC Schalke 04,RB,70
Chrislain Matsima,AS Monaco,CB,70
Mamadou Mbaye,Cádiz CF,CB,70
Isaac Mbenza,Sp. Charleroi,ST,70
James McAtee,Sheffield Utd,CAM,70
Sam McCallum,Norwich,LB,70
Ali McCann,Preston,CM,70
Dax McCarty,Nashville SC,CDM,70
Ross McCrorie,Bristol City,RB,70
Flavio,Al Taawoun,CDM,70
Yakou Méïté,Cardiff City,ST,70
Marcelo Meli,Liverpool,CM,70
Dario Melnjak,Hajduk Split,LB,70
Armando Méndez,Newell's,RB,70
Jérémy Ménez,Bari,CF,70
Gideon Mensah,AJ Auxerre,LB,70
Meseguer,R. Valladolid CF,CDM,70
Karol Mets,FC St. Pauli,CB,70
Melle Meulensteen,Vitesse,CDM,70
Eric Meza,Colón,RWB,70
Giannis Michailidis,PAOK FC,CB,70
Pedro Mendes,Ascoli,ST,70
Bojan Miovski,Aberdeen,ST,70
Ignasi Miquel,Granada CF,CB,70
Ignacio Miramón,LOSC Lille,CDM,70
Koji Miyoshi,Birmingham City,RM,70
Filip Mladenović,Panathinaikos,LB,70
Ryan Mmaee,Stoke City,ST,70
Sadegh Moharrami,Dinamo Zagreb,RB,70
Tobias Mohr,FC Schalke 04,LW,70
Mollejo,Real Zaragoza,RM,70
Walter Montoya,Rosario Central,CM,70
Alfredo Morales,New York City FC,CDM,70
Jon Morcillo,SD Amorebieta,LM,70
Paulo Estrela,Portimonense SC,CM,70
Sávio,Girona FC,RM,70
Víctor Moreno,Indep. Medellín,CB,70
Marcelo Moreno Martins,Independiente DV,ST,70
Aidan Morris,Columbus Crew,CDM,70
Olimpiu Moruțan,MKE Ankaragücü,CF,70
Rafa Mújica,Arouca,ST,70
Jackson Muleka,Beşiktaş,RW,70
Jannik Müller,SV Darmstadt 98,CB,70
Abdul Mumin,Rayo Vallecano,CB,70
Radosław Murawski,Lech Poznań,CDM,70
Thomas Murg,PAOK FC,RW,70
Damián Musto,FC Cartagena,CDM,70
Junior Mwanga,Strasbourg,CDM,70
Andrey Santos,Nott'm Forest,CM,70
Mickaël Nadé,AS Saint-Étienne,CB,70
Juan Ignacio Nardoni,Racing Club,CM,70
Alassane Ndao,İstanbulspor,RM,70
Dan Ndoye,Bologna,RM,70
Sean Nealis,Red Bulls,CB,70
Loïc Négo,Havre AC,RB,70
Dan Neil,Sunderland,CDM,70
Phil Neumann,Hannover 96,CB,70
Roman Neustädter,KVC Westerlo,CB,70
Filipe Ferreira,Boavista FC,LB,70
Joe Newell,Hibernian,CM,70
Yvan Neyou,CD Leganés,CDM,70
Jeremy Ngakia,Watford,RB,70
Håvard Nielsen,Hannover 96,CAM,70
Riad Nouri,AC Ajaccio,RM,70
Bartosz Nowak,Raków,CF,70
Miguel Cardoso,Kayserispor,LM,70
Callum O'Dowda,Cardiff City,LM,70
Jay O'Shea,Brisbane Roar,CM,70
Lawrence Ofori,Moreirense FC,CM,70
Chiedozie Ogbene,Luton Town,CF,70
Florent Ogier,Clermont Foot 63,CB,70
Braian Ojeda,Real Salt Lake,CDM,70
Chima Okoroji,FC St. Gallen,LB,70
Kiko Olivas,FC Cartagena,CB,70
Jorge Fernandes,Vitória SC,CB,70
Kenneth Omeruo,Kasımpaşa,CB,70
Andrew Omobamidele,Nott'm Forest,CB,70
Ado Onaiwu,AJ Auxerre,ST,70
Nicolás Oroz,Racing Club,CM,70
Kevin Ortiz,Rosario Central,CDM,70
Joao Ortiz,Independiente DV,CM,70
Horacio Orzán,FBC Melgar,CDM,70
Gabriel Osho,Luton Town,CB,70
Milutin Osmajić,Preston,ST,70
Yordan Osorio,Parma,CB,70
Levin Öztunalı,Hamburger SV,CAM,70
Sergi Palencia,LAFC,RB,70
Victor Pálsson,KAS Eupen,CDM,70
Miloš Pantović,KAS Eupen,CAM,70
Aitor Paredes,Athletic Club,CB,70
Park Seung Wook,Pohang Steelers,RB,70
Nicolás Pasquini,Sporting Cristal,LB,70
Felix Passlack,VfL Bochum,RM,70
Louis Patris,RSC Anderlecht,RB,70
Leonardo Pavoletti,Cagliari,ST,70
Matty Pearson,Huddersfield,CB,70
Tomáš Pekhart,Legia Warszawa,ST,70
Nathan,SJ Earthquakes,CB,70
Timothée Pembélé,Sunderland,RB,70
Alexandre Penetra,AZ,RB,70
Juan Carlos Pereira,Millonarios,CM,70
Sebastián Pérez,Boavista FC,CM,70
Njegoš Petrović,Granada CF,CDM,70
Patrick Pflücke,KV Mechelen,LM,70
Harry Pickering,Blackburn Rovers,LB,70
Iván Pillud,Racing Club,RB,70
Markus Pink,Shanghai Port,ST,70
Robert Piris Da Motta,Cerro Porteño,CDM,70
Mauro Pittón,Central Córdoba,CM,70
Andy Polo,Universitario,RM,70
Matt Polster,New England,CDM,70
Octavian Popescu,FCSB,LW,70
Lucas Possignolo,Zhejiang Pro,CB,70
Postigo,Levante UD,CB,70
Nick Powell,Stockport,CAM,70
Tomás Pozzo,Independiente,RM,70
Lucas Pratto,Defensa,ST,70
Ángelo Preciado,Sparta Praha,RB,70
Adonis Preciado,Barcelona SC,RM,70
Gianluca Prestianni,Vélez Sarsfield,RM,70
Dirk Proper,N.E.C. Nijmegen,CDM,70
Cameron Puertas,R. Union St.-G.,CM,70
Ignacio Pussetto,Huracán,ST,70
Robin Quaison,Ettifaq FC,CF,70
Leonel Quiñonez,LDU Quito,LB,70
Alberto Quintero,Cienciano,LM,70
Risto Radunović,FCSB,LB,70
Yanis Rahmani,SD Eibar,LM,70
Benito,UD Las Palmas,LB,70
Aaron Ramsey,Burnley,LM,70
Rene Renner,LASK,LB,70
Paolo Reyna,FBC Melgar,LB,70
Bryan Reynolds,KVC Westerlo,RWB,70
Ricardo Ryller,Al Fayha,CM,70
Andrés Ricaurte,Indep. Medellín,CAM,70
Mikel Rico,FC Cartagena,CM,70
Emil Riis,Preston,ST,70
Alexander Ring,Austin FC,CB,70
Juan David Ríos,Deportes Tolima,CDM,70
Josh Risdon,Western United,RB,70
Marlon Ritter,Kaiserslautern,CDM,70
Williams Riveros,Universitario,CB,70
Callum Robinson,Cardiff City,ST,70
Gerson Rodrigues,Sivasspor,LM,70
Léo Jabá,Estrela Amadora,LW,70
Carlos Rodríguez,Barcelona SC,CB,70
Diego Rodríguez,Nacional,CDM,70
Chema,AD Alcorcón,CB,70
Andy,Burgos CF,CM,70
Jony,FC Cartagena,LW,70
Alvaro Rodríguez,Albacete BP,RB,70
Iván Rojas,Santa Fe,CDM,70
Enzo Roldán,Unión,CM,70
Simone Romagnoli,Frosinone,CB,70
André Rømer,FC Midtjylland,CDM,70
Farley,Tianjin JMT FC,RM,70
Keegan Rosenberry,Colorado Rapids,RB,70
Loreintz Rosier,Fortuna Sittard,CDM,70
Bryan Rovira,Uni. Católica,CDM,70
Kye Rowles,Hearts,CB,70
Waldo,CD Tenerife,LM,70
Pablo Ruiz,Real Salt Lake,CDM,70
Sergio Ruiz,Granada CF,CDM,70
Ramiro Ruiz Rodríguez,Atlético Tucumán,ST,70
Patrick William,Rio Ave FC,CB,70
Marwane Saadane,Al Fateh,CB,70
Stefano Sabelli,Genoa,RWB,70
Abdelhamid Sabiri,Al Fayha,CAM,70
Ismael Saibari,PSV,RW,70
Maximiliano Salas,Palestino,ST,70
Saúl Salcedo,Olimpia,CB,70
Brian Salvareschi,Godoy Cruz,CB,70
Fabián Sambueza,Santa Fe,RM,70
Sergi Samper,FC Andorra,CDM,70
Alfons Sampsted,FC Twente,RB,70
Rubén Sánchez,CD Mirandés,RM,70
José Sand,Lanús,ST,70
Philippe Sandler,N.E.C. Nijmegen,CB,70
James Sands,New York City FC,CB,70
Roque Santa Cruz,Libertad,ST,70
Danilo Santacruz,Dep. Pereira,CAM,70
Nathan,FC Famalicão,RWB,70
Tayyip Sanuç,Beşiktaş,CB,70
Noah Joel Sarenren Bazee,Arminia Bielefeld,RM,70
Amin Sarr,VfL Wolfsburg,ST,70
George Saville,Millwall,CM,70
Jan Schöppner,Heidenheim,CDM,70
Ignacio Schor,Newell's,LM,70
Luis Segovia,RWD Molenbeek,CB,70
Ken Sema,Watford,LM,70
Alfa Semedo,Al Tai,CDM,70
Antoine Semenyo,AFC Bournemouth,ST,70
Seol Young Woo,Ulsan Hyundai,RB,70
Nico Serrano,PEC Zwolle,LM,70
Kevin Sessa,Heidenheim,RM,70
Michal Ševčík,Sparta Praha,CAM,70
Juan Sforza,Newell's,CDM,70
Giuseppe Sibilli,Bari,CF,70
Vincent Sierro,Toulouse FC,CM,70
Tim Siersleben,Heidenheim,CB,70
Romário Baró,FC Porto,CM,70
Igor Silva,FC Lorient,RB,70
Reis,Jeju United,LW,70
Bressan,Nantong Zhiyun FC,CB,70
Doğukan Sinik,Hull City,LW,70
Hugo Siquet,Cercle Brugge,RM,70
Regan Slater,Hull City,CM,70
Rafa Soares,PAOK FC,LB,70
Thibo Somers,Cercle Brugge,CF,70
Song Min Kyu,Jeonbuk Hyundai,LW,70
Joel Soñora,Huracán,CAM,70
Christian Sørensen,F.C. København,LB,70
Frederik Sørensen,Ternana,CB,70
Mario Soriano,SD Eibar,CAM,70
Alberto Soro,FC Vizela,RM,70
Luca Sosa,Barcelona SC,CB,70
Gonzalo Sosa,Audax Italiano,ST,70
Alexis Soto,Defensa,LB,70
Leonai,Barcelona SC,CDM,70
Sem Steijn,FC Twente,CAM,70
Leonidas Stergiou,VfB Stuttgart,CB,70
Enda Stevens,Stoke City,LB,70
Leo Štulac,Palermo,CDM,70
Ivan Šunjić,Birmingham City,CDM,70
Adrian Șut,FCSB,CDM,70
Abakar Sylla,Strasbourg,CB,70
Vicente Taborda,Boca Juniors,CAM,70
Benjamin Tahirović,Ajax,CDM,70
Ismael Tajouri-Shradi,Minnesota United,RM,70
Florin Tănase,Al Okhdood,CF,70
Rodri Tarín,R. Oviedo,CB,70
Martín Távara,Sporting Cristal,CM,70
Mahmut Tekdemir,Başakşehir,CDM,70
Lino Tempelmann,FC Schalke 04,CM,70
Robert Tesche,VfL Osnabrück,CM,70
Sorba Thomas,Huddersfield,RM,70
Tiago Orobó,Daejeon Citizen,ST,70
Timor,CD Eldense,CM,70
Fernando Tobio,Huracán,CB,70
Boris Tomiak,Kaiserslautern,CB,70
Pablo Torre,Girona FC,CAM,70
Isaak Touré,FC Lorient,CB,70
Mattéo Tramoni,Pisa,CF,70
Enrique Triverio,The Strongest,ST,70
Christos Tzolis,Düsseldorf,LM,70
Manfred Ugalde,FC Twente,ST,70
Iké Ugbo,Cardiff City,ST,70
Jacob Une-Larsson,Djurgårdens IF,CB,70
Rodrigo Ureña,Universitario,CDM,70
Fernando Uribe,Millonarios,ST,70
Moses Usor,LASK,RM,70
Albert Vallci,FC St. Gallen,CB,70
Jules Van Cleemput,Sp. Charleroi,CB,70
Thomas van den Belt,Feyenoord,CM,70
Rick van Drongelen,Samsunspor,CB,70
Tom van Weert,AEK Athens,ST,70
Charles Vanhoutte,R. Union St.-G.,CDM,70
Jordi Vanlerberghe,KV Mechelen,CB,70
Barnabás Varga,Ferencvárosi TC,ST,70
Sebastian Vasiliadis,Hansa Rostock,CDM,70
Johan Vásquez,Genoa,CB,70
Cristian Vega,Colón,CDM,70
Gustavo Henrique,R. Valladolid CF,CB,70
Gastón Verón,Argentinos Jrs.,ST,70
Paulinho,FC Midtjylland,LB,70
Joel Pereira,Lech Poznań,RB,70
Oliver Villadsen,FC Nordsjælland,RB,70
Carlos Villalba,CS Emelec,CDM,70
Carlos Villanueva,Club Magallanes,CAM,70
Alessandro Vogliacco,Genoa,CB,70
Andreas Voglsammer,Hannover 96,LM,70
Bart Vriends,Sparta Rotterdam,CB,70
Giacomo Vrioni,New England,ST,70
Hauke Wahl,FC St. Pauli,CB,70
Sebastian Walukiewicz,Empoli,CB,70
Tsuyoshi Watanabe,KAA Gent,CB,70
Brice Wembangomo,FK Bodø/Glimt,RB,70
Scott Wharton,Blackburn Rovers,CB,70
Gustav Mendonca Wikheim,Djurgårdens IF,LW,70
Joe Williams,Bristol City,CDM,70
Josh Windass,Sheffield Wed,ST,70
Richard Windbichler,Rongcheng FC,CB,70
Scott Wright,Rangers,RW,70
Paweł Wszołek,Legia Warszawa,RM,70
Güven Yalçın,Karagümrük SK,ST,70
Kelvin Yeboah,Montpellier,ST,70
DeAndre Yedlin,Inter Miami CF,RB,70
Darlin Yongwa,FC Lorient,LB,70
Gabriele Zappa,Cagliari,RB,70
Gyasi Zardes,Austin FC,ST,70
Benedikt Zech,Pogoń Szczecin,CB,70
Deyovaisio Zeefuik,Hertha Berlin,RB,70
Jordan Zemura,Udinese,LWB,70
Zhang Yuning,Beijing Guoan,ST,70
Zhou Dingyang,Rongcheng FC,CM,70
Philipp Ziereis,LASK,CB,70
Nermin Zolotić,Casa Pia AC,CB,70
Juan Zuluaga,Dep. Pereira,CM,70
Rayane Aabid,Hatayspor,CM,69
Matthis Abline,FC Nantes,ST,69
Afonso Freitas,Vitória SC,LWB,69
