Name,Nation,Position,Overall
Lazare Amani,Côte d'Ivoire,CM,72
Jordan Amavi,France,LB,72
Branco Ampuero,Chile,CB,72
Francis Amuzu,Belgium,LM,72
Elliot Anderson,Scotland,CM,72
Joel Andersson,Sweden,RB,72
Shinta Appelkamp,Germany,CAM,72
Claudio Aquino,Argentina,LM,72
Mattia Aramu,Italy,CAM,72
Alexander Aravena,Chile,LM,72
Carlens Arcus,Haiti,RB,72
Matías Arezo,Uruguay,ST,72
Adam Armstrong,England,ST,72
Paul Arriola,United States,RM,72
Majeed Ashimeru,Ghana,CM,72
Kaan Ayhan,Turkey,CB,72
Hernani,Brazil,CM,72
Milan Badelj,Croatia,CDM,72
Stefan Bajcetic,Spain,CDM,72
Éder Balanta,Colombia,CDM,72
Fodé Ballo-Touré,Senegal,LB,72
Barry Bannan,Scotland,CM,72
Federico Barba,Italy,CB,72
Yoann Barbet,France,CB,72
Facundo Barceló,Uruguay,ST,72
Hernán Barcos,Argentina,ST,72
João Novais,Portugal,CM,72
Simone Bastoni,Italy,CM,72
Damian Batallini,Argentina,RM,72
Jean-David Beauguel,France,ST,72
Dion Drena Beljo,Croatia,ST,72
El Fardou Ben,Comoros,RW,72
Eliesse Ben Seghir,France,CF,72
Marcelo Benítez,Argentina,LB,72
Filip Benković,Croatia,CB,72
Bartosz Bereszyński,Poland,RWB,72
Muhamed Bešić,Bosnia and Herzegovina,CDM,72
Krystian Bielik,Poland,CDM,72
Fredrik Andre Bjørkan,Norway,LB,72
Lucas Blondel,Argentina,RB,72
Emmanuel Boateng,Ghana,ST,72
Paweł Bochniewicz,Poland,CB,72
Miler Bolaños,Ecuador,ST,72
Valeriy Bondar,Ukraine,CB,72
Kevin Bonifazi,Italy,CB,72
Rubén Botta,Argentina,CAM,72
Terrence Boyd,United States,ST,72
Martin Boyle,Australia,RM,72
Tom Bradshaw,Wales,ST,72
Billal Brahimi,Algeria,LM,72
Jarrad Branthwaite,England,CB,72
Lilian Brassier,France,CB,72
Claudio Bravo,Argentina,LB,72
Anthony Briançon,France,CB,72
Facundo Bruera,Argentina,ST,72
Jeffrey Bruma,Holland,CB,72
Tajon Buchanan,Canada,RM,72
Yan Couto,Brazil,RM,72
Hugo Bueno,Spain,LB,72
Adam Buksa,Poland,ST,72
Marnon Busch,Germany,RB,72
Gianluca Busio,United States,CM,72
Alexander Callens,Peru,CB,72
Dani Calvo,Spain,CB,72
Mahdi Camara,France,CM,72
Alejandro Camargo,Argentina,CDM,72
Sergi Canós,Spain,LW,72
Irvin Cardona,France,ST,72
Bernardo Vital,Portugal,CB,72
Julián Carranza,Argentina,ST,72
Vitor Carvalho,Brazil,CDM,72
Cristian Cásseres Jr,Venezuela,CDM,72
Lucas Castro,Argentina,CM,72
Maximiliano Caufriez,Belgium,CB,72
Ivan Cavaleiro,Portugal,LM,72
Maxime Chanot,Luxembourg,CB,72
Yimmi Chará,Colombia,LM,72
Gaëtan Charbonnier,France,ST,72
Xavier Chavalerin,France,CM,72
Walid Cheddira,Morocco,ST,72
Youssef Chermiti,Portugal,ST,72
Cho Gue Sung,Korea Republic,ST,72
Mohamed-Ali Cho,France,ST,72
Hamza Choudhury,England,CDM,72
Alexandru Cicâldău,Romania,CM,72
José Cifuentes,Ecuador,CM,72
Facundo Colidio,Argentina,CAM,72
Lorenzo Colombo,Italy,ST,72
Florinel Coman,Romania,LW,72
Steve Cook,England,CB,72
Córdoba,Spain,LM,72
Janner Corozo,Ecuador,RM,72
Ayrton Costa,Argentina,LB,72
David Costas,Spain,CB,72
Yoann Court,France,RM,72
Leonardo Lelo,Portugal,LWB,72
Jorge Cuenca,Spain,CB,72
Braian Cufré,Argentina,LB,72
André Vidigal,Portugal,LM,72
Patrick Cutrone,Italy,ST,72
Damien Da Silva,France,CB,72
Edgar,Brazil,ST,72
Riccieli,Brazil,CB,72
Ignácio,Brazil,CB,72
Abner,Brazil,LB,72
Damian Dąbrowski,Poland,CDM,72
Marcus Danielson,Sweden,CB,72
Mohamed Daramy,Denmark,LW,72
Márton Dárdai,Germany,CB,72
Sean Davis,United States,CDM,72
André Geraldes,Portugal,RWB,72
Maracás,Brazil,CB,72
Anderson Jesus,Brazil,CB,72
De La Hoz,Spain,CDM,72
Ritchie De Laet,Belgium,RB,72
Thibault De Smet,Belgium,LB,72
Rúben Lameiras,Portugal,RW,72
Steven Vitória,Canada,CB,72
Thomas Delaine,France,LWB,72
Hannes Delcroix,Belgium,CB,72
Fabio Depaoli,Italy,RM,72
Stéphane Diarra,Côte d'Ivoire,RM,72
Álvaro Djaló,Spain,LM,72
Amadou Diawara,Guinea,CDM,72
Fabricio Díaz,Uruguay,CM,72
Rob Dickie,England,CB,72
Landry Dimata,Belgium,ST,72
Mateus,Brazil,RM,72
Alfie Doughty,England,LWB,72
Kamory Doumbia,Mali,CAM,72
Ousmane Doumbia,Côte d'Ivoire,CDM,72
Kieran Dowell,England,CAM,72
Dominick Drexler,Germany,CAM,72
Jonathan Dubasin,Belgium,RM,72
Mikkel Duelund,Denmark,CM,72
Rafiu Durosinmi,Nigeria,ST,72
Noë Dussenne,Belgium,CB,72
Jeremy Ebobisse,Cameroon,ST,72
Karim El Berkaoui,Morocco,ST,72
Oualid El Hajjam,Morocco,RB,72
Alberth Elis,Honduras,ST,72
Arne Engels,Belgium,CM,72
Alberto Espínola,Paraguay,RWB,72
Óscar Estupiñán,Colombia,ST,72
Yan Brice Eteki,Cameroon,CDM,72
Etxeita,Spain,CB,72
Marcello Falzerano,Italy,RM,72
Fei Nanduo,China PR,RM,72
Josan,Spain,RB,72
Gian Marco Ferrari,Italy,CB,72
Juninho,Brazil,CB,72
James Forrest,Scotland,RW,72
Timothy Fosu-Mensah,Holland,RWB,72
Mohamed Fouzair,Morocco,RM,72
Franco Fragapane,Argentina,LM,72
Morten Frendrup,Denmark,CDM,72
Fresneda,Spain,RB,72
Ramiro Funes Mori,Argentina,CB,72
Manu Fuster,Spain,LM,72
Cristian Gamboa,Costa Rica,RB,72
Ulisses Garcia,Switzerland,LB,72
Agustín García Basso,Argentina,CB,72
James Garner,England,CDM,72
Luca Garritano,Italy,CAM,72
Valentin Gendrey,France,RB,72
Valère Germain,France,ST,72
Dimitris Giannoulis,Greece,LB,72
Billy Gilmour,Scotland,CDM,72
Gastón Giménez,Paraguay,CDM,72
Paolo Goltz,Argentina,CB,72
João Nunes,Portugal,CB,72
Alberto Grassi,Italy,CM,72
Stian Gregersen,Norway,CB,72
Marco Grüll,Austria,LM,72
Sergi Guardiola,Spain,ST,72
Marcelo,Brazil,CB,72
Morgan Guilavogui,Guinea,ST,72
Koray Günter,Germany,CB,72
Serdar Gürler,Turkey,LM,72
Norbert Gyömbér,Slovakia,CB,72
Robin Hack,Germany,LM,72
Ehsan Haji Safi,Iran,LB,72
Genki Haraguchi,Japan,CAM,72
Abdou Harroui,Morocco,CDM,72
Marcel Hartel,Germany,CM,72
Quilindschy Hartman,Holland,LB,72
Kortney Hause,England,CB,72
Milan Havel,Czech Republic,LB,72
Thom Haye,Holland,CM,72
Liam Henderson,Scotland,CM,72
Leo Coelho,Brazil,CB,72
Abel Hernández,Uruguay,ST,72
Andrés Herrera,Argentina,RB,72
George Honeyman,England,RM,72
Dino Hotić,Bosnia and Herzegovina,CAM,72
Even Hovland,Norway,CB,72
Branimir Hrgota,Sweden,CAM,72
Jakub Hromada,Slovakia,CDM,72
Dominic Hyam,Scotland,CB,72
Renato Ibarra,Ecuador,RM,72
Edgar Ié,Guinea-Bissau,CB,72
Juan Iglesias,Spain,LWB,72
Marco Ilaimaharitra,Madagascar,CDM,72
Tom Ince,England,RM,72
Juan Manuel Insaurralde,Argentina,CB,72
Ardian Ismajli,Albania,CB,72
Tomoki Iwata,Japan,CDM,72
Jeong Woo Yeong,Korea Republic,CAM,72
Jiang Guangtai,China PR,CB,72
Erik Jirka,Slovakia,RM,72
DeJuan Jones,United States,LB,72
Anthony Jung,Germany,LWB,72
Julian Justvan,Germany,CAM,72
Taras Kacharaba,Ukraine,CB,72
François Kamano,Guinea,RM,72
Ilan Kebbal,Algeria,RM,72
Davit Khocholava,Georgia,CB,72
Luca Kilian,Germany,CB,72
Emre Kılınç,Turkey,RM,72
Sean Klaiber,Suriname,RB,72
Christoph Klarer,Austria,CB,72
Ko Seung Beom,Korea Republic,CM,72
Mats Köhlert,Germany,LB,72
Derrick Köhn,Germany,LWB,72
Victor Kristiansen,Denmark,LB,72
Sergiy Kryvtsov,Ukraine,CB,72
Fabian Kunze,Germany,CDM,72
Jasmin Kurtić,Slovenia,CM,72
Grejohn Kyei,France,ST,72
Zakaria Labyad,Morocco,CAM,72
Kenny Lala,France,RB,72
Didier Lamkel Zé,Cameroon,ST,72
Luca Langoni,Argentina,RM,72
Rasmus Lauritsen,Denmark,CB,72
Valentino Lazaro,Austria,RWB,72
Lee Dong Jun,Korea Republic,RM,72
Maxim Leitsch,Germany,CB,72
Mehdi Léris,Algeria,RM,72
Jamie Leweling,Germany,ST,72
Keane Lewis-Potter,England,LW,72
Darío Lezcano,Paraguay,ST,72
Dimitri Liénard,France,LWB,72
Lim Chai Min,Korea Republic,CB,72
Luquinhas,Brazil,RM,72
Martin Linnes,Norway,RWB,72
Pol Lirola,Spain,RWB,72
Jürgen Locadia,Curaçao,ST,72
Bradley Locko,France,LB,72
Roberto López,Spain,RM,72
Max Lowe,England,LWB,72
Lorenzo Lucca,Italy,ST,72
Abel Luciatti,Argentina,CB,72
Jeison Lucumí,Colombia,LM,72
Charalampos Lykogiannis,Greece,LB,72
Mathieu Maertens,Belgium,CF,72
Ainsley Maitland-Niles,England,RB,72
Gaius Makouta,Congo,CM,72
Youssef Maleh,Morocco,CM,72
Mickaël Malsa,France,CDM,72
Dennis Man,Romania,RM,72
Eliaquim Mangala,France,CB,72
Manquillo,Spain,RB,72
Mika Mármol,Spain,CB,72
Jonas Martin,France,CDM,72
Federico Martínez,Uruguay,LM,72
Pablo Martínez,Spain,CM,72
Nacho,Spain,LB,72
Adam Masina,Morocco,LWB,72
Jordi Mboula,Spain,RM,72
Oli McBurnie,Scotland,ST,72
Riley McGree,Australia,LM,72
Barrie McKay,Scotland,LM,72
Kenny McLean,Scotland,CDM,72
Paddy McNair,Northern Ireland,CB,72
Jakov Medić,Croatia,CB,72
Alan Medina,Uruguay,RW,72
Jonas Meffert,Germany,CDM,72
Jubal,Brazil,CB,72
Alexandre Mendy,Guinea-Bissau,ST,72
Batista Mendy,France,CDM,72
Xavier Mercier,France,CAM,72
Jorge Meré,Spain,CB,72
Merquelanz,Spain,LW,72
Fernando Meza,Argentina,CB,72
Omenuke Mfulu,Congo DR,CDM,72
Sven Michel,Germany,ST,72
Peter Michorl,Austria,CM,72
Sven Mijnans,Holland,CAM,72
Salvador Agra,Portugal,RW,72
Martin Minchev,Bulgaria,ST,72
Jorge Miramón,Spain,RB,72
Alexandru Mitriță,Romania,LM,72
Niklas Moisander,Finland,CB,72
Thomas Monconduit,France,CDM,72
Brian Montenegro,Paraguay,ST,72
Shaquell Moore,United States,RB,72
Tete Morente,Spain,RM,72
Ilaix Moriba,Guinea,CM,72
Ryota Morioka,Japan,CM,72
Carlton Morris,England,ST,72
Jordan Morris,United States,LM,72
Patrick Mortensen,Denmark,ST,72
Steve Mounié,Benin,ST,72
Toni Moya,Spain,CM,72
Kerim Mrabti,Sweden,CAM,72
Stefan Mugoša,Montenegro,ST,72
Mert Müldür,Turkey,RB,72
Facundo Mura,Argentina,RB,72
Michael Murillo,Panama,RB,72
Nyasha Mushekwi,Zimbabwe,ST,72
Florent Muslija,Kosovo,CAM,72
Bogdan Mykhailichenko,Ukraine,LB,72
Ádám Nagy,Hungary,CDM,72
Rúben Vinagre,Portugal,LB,72
Wilson Eduardo,Angola,ST,72
Franco Negri,Argentina,LB,72
Tokmac Chol Nguen,Norway,CAM,72
Cheikh Niasse,Senegal,CDM,72
Florian Niederlechner,Germany,ST,72
Dimitrios Nikolaou,Greece,CB,72
Joakim Nilsson,Sweden,CB,72
Kevin Nisbet,Scotland,ST,72
Vital Nsimba,Congo DR,LB,72
Stanley Nsoki,France,CB,72
Ernest Nuamah,Ghana,RW,72
Bram Nuytinck,Holland,CB,72
Kelechi Nwakali,Nigeria,CDM,72
Obinna Nwobodo,Nigeria,CDM,72
Lewis O'Brien,England,CM,72
Callum O'Hare,England,CAM,72
Dara O'Shea,Republic of Ireland,CB,72
Pedro Obiang,Equatorial Guinea,CDM,72
Brian Ocampo,Uruguay,LM,72
Denis Odoi,Ghana,RB,72
Ahmet Oğuz,Turkey,RB,72
Caleb Okoli,Italy,CB,72
Jean Mota,Brazil,CM,72
Patrick Osterhage,Germany,CDM,72
Romulo Otero,Venezuela,CAM,72
Dango Ouattara,Burkina Faso,RM,72
Rémi Oudin,France,LM,72
Aiham Ousou,Sweden,CB,72
Thomas Ouwejan,Holland,LB,72
Berkay Özcan,Turkey,CM,72
Cenk Özkacar,Turkey,CB,72
Diego Palacios,Ecuador,LB,72
Antonio Palumbo,Italy,CM,72
Keaton Parks,United States,CDM,72
Pablo Parra,Chile,CAM,72
Jamie Paterson,England,LW,72
Nathan Patterson,Scotland,RB,72
Esteban Pavez,Chile,CDM,72
Ben Pearson,England,CDM,72
Mads Pedersen,Denmark,LB,72
Sebastián Pedroza,Colombia,CDM,72
Dimitrios Pelkas,Greece,CAM,72
Cristian Pellerano,Argentina,CDM,72
Andy Pelmard,France,CB,72
Alberto Perea,Spain,LM,72
Federico Pereira,Uruguay,CB,72
Mathias Pereira Lage,Portugal,RW,72
Gastón Pereiro,Uruguay,CAM,72
Mario Gaspar,Spain,RB,72
Dino Perić,Croatia,CB,72
Baldomero Perlaza,Colombia,CDM,72
Luděk Pernica,Czech Republic,CB,72
Immanuel Pherai,Holland,CAM,72
Pablo Piatti,Argentina,LM,72
Miguel Veloso,Portugal,CM,72
Srđan Plavšić,Serbia,LM,72
Lukas Podolski,Germany,CF,72
Diego Polenta,Uruguay,CB,72
Sebastian Polter,Germany,ST,72
Julien Ponceau,France,CAM,72
Luciano Pons,Argentina,ST,72
Juan Portillo,Argentina,LB,72
José Pozo,Spain,CAM,72
Álex Pozo,Spain,RB,72
Alan Pulido,Mexico,ST,72
Mateus Quaresma,Brazil,LB,72
Luquinha,Brazil,CAM,72
Facundo Quignon,Argentina,CDM,72
Jordi Quintillà,Spain,CDM,72
Nemanja Radoja,Serbia,CM,72
Carlos Ramírez,Colombia,CB,72
Luca Ranieri,Italy,CB,72
Elbasan Rashani,Kosovo,LW,72
Arkadiusz Reca,Poland,LM,72
Jason,Spain,RM,72
Emiliano Rigoni,Argentina,RM,72
Matt Ritchie,Scotland,LM,72
Jack Robinson,England,CB,72
Miles Robinson,United States,CB,72
Enzo Roco,Chile,CB,72
Angelo Rodríguez,Colombia,ST,72
Santiago Rodríguez,Uruguay,CAM,72
Juan Gabriel Rodríguez,Argentina,CB,72
Ángel,Spain,ST,72
Zaid Romero,Argentina,CB,72
Facundo Roncaglia,Argentina,CB,72
Lazaros Rota,Greece,RB,72
Johnny Russell,Scotland,RW,72
Pablo Sabbag,Colombia,ST,72
Mujaid,Spain,CB,72
Osame Sahraoui,Norway,LM,72
Fashion Sakala,Zambia,ST,72
Tatsuhiro Sakamoto,Japan,RWB,72
Dániel Sallói,Hungary,LW,72
Yoann Salmier,France,CB,72
Mbwana Ally Samatta,Tanzania,ST,72
San Emeterio,Spain,CM,72
Ulises Sanchez,Argentina,RM,72
Antonio Sánchez,Spain,RM,72
Kevin Sandoval,Peru,CAM,72
Carlinhos,Brazil,CM,72
Ivo Rodrigues,Portugal,CAM,72
Josh Sargent,United States,ST,72
Manprit Sarkaria,Austria,ST,72
Pape Matar Sarr,Senegal,CM,72
Martín Satriano,Uruguay,ST,72
Kevin Schade,Germany,RW,72
András Schäfer,Hungary,CM,72
Louis Schaub,Austria,CAM,72
Christopher Schindler,Germany,CB,72
Keven Schlotterbeck,Germany,CB,72
Sebastian Schonlau,Germany,CB,72
Siebe Schrijvers,Belgium,CM,72
Alex Scott,England,CM,72
Paul Seguin,Germany,CM,72
Alidu Seidu,Ghana,CB,72
Jaime Seoane,Spain,CM,72
Jean Michaël Seri,Côte d'Ivoire,CDM,72
Leonardo Sernicola,Italy,RM,72
Volodymyr Shepelev,Ukraine,CM,72
Eldor Shomurodov,Uzbekistan,ST,72
Óscar Sielva,Spain,CM,72
Carlos Sierra,Colombia,CM,72
Francisco Sierralta,Chile,CB,72
Kiliann Sildillia,France,RB,72
Jonathan Silva,Argentina,LB,72
Giuliano Simeone,Argentina,ST,72
Daley Sinkgraven,Holland,LB,72
Mile Škorić,Croatia,CB,72
Steven Skrzybski,Germany,CF,72
Marcel Sobottka,Germany,CDM,72
Serginho,Brazil,CM,72
Yuki Soma,Japan,RW,72
José Sosa,Argentina,CM,72
Dario Špikić,Croatia,RW,72
Ross Stewart,Scotland,ST,72
Filip Stojković,Montenegro,RB,72
Jordan Storey,England,CB,72
Stefan Strandberg,Norway,CB,72
Róber,Spain,CB,72
Gabriel Suazo,Chile,LB,72
Boško Šutalo,Croatia,CB,72
Morlaye Sylla,Guinea,LM,72
Tan Long,China PR,ST,72
Ao Tanaka,Japan,CDM,72
Florian Tardieu,France,CDM,72
Cristian Tarragona,Argentina,ST,72
Júlio Tavares,Cape Verde Islands,ST,72
Léandre Tawamba,Cameroon,ST,72
Álvaro Tejero,Spain,RB,72
Aleksa Terzić,Serbia,LB,72
Cedric Teuchert,Germany,ST,72
Mame Thiam,Senegal,ST,72
Jan Thielmann,Germany,RM,72
Romain Thomas,France,CB,72
Phillip Tietz,Germany,ST,72
Jeremy Toljan,Germany,RB,72
James Tomkins,England,CB,72
Daniel Torres,Colombia,CDM,72
Ibrahim Traoré,Côte d'Ivoire,CDM,72
Miguel Trauco,Peru,LB,72
Lewis Travis,England,CDM,72
Nicolás Tripichio,Argentina,RB,72
Fran Tudor,Croatia,RM,72
Ozan Tufan,Turkey,CM,72
Oleksandr Tymchyk,Ukraine,RB,72
Andreas Ulmer,Austria,LB,72
Filip Uremović,Croatia,CB,72
Nuno Santos,Portugal,CM,72
Nicolás Valentini,Argentina,CB,72
Alex Valera,Peru,ST,72
Sepp van den Berg,Holland,CB,72
Siebe Van der Heyden,Belgium,CB,72
Mike van der Hoorn,Holland,CB,72
Marco van Ginkel,Holland,CM,72
Sydney van Hooijdonk,Holland,ST,72
Ricky van Wolfswinkel,Holland,ST,72
Matías Vargas,Argentina,RW,72
Lorenzo Venuti,Italy,RB,72
Benjamin Verbič,Slovenia,LW,72
Daniele Verde,Italy,RM,72
Arthur Vermeeren,Belgium,CDM,72
Yorbe Vertessen,Belgium,RW,72
Hugo Vetlesen,Norway,CAM,72
Francesco Vicari,Italy,CB,72
Emanuel Vignato,Italy,CAM,72
Héctor Villalba,Paraguay,LM,72
Mattia Viti,Italy,CB,72
Mërgim Vojvoda,Kosovo,LM,72
Patrik Wålemark,Sweden,RW,72
Marcelo Weigandt,Argentina,RB,72
Gaëtan Weissbeck,France,CAM,72
Ashley Westwood,England,CDM,72
Mateusz Wieteska,Poland,CB,72
Brandon Williams,England,LB,72
Chris Willock,England,LW,72
Cláudio Winck,Brazil,RB,72
Christopher Wooh,Cameroon,CB,72
Wu Lei,China PR,ST,72
Gregory Wüthrich,Switzerland,CB,72
Roman Yaremchuk,Ukraine,ST,72
Barış Alper Yılmaz,Turkey,RM,72
İsmail Yüksek,Turkey,CDM,72
Alhassan Yusuf,Nigeria,CDM,72
Luca Zanimacchia,Italy,RM,72
Cristian Zapata,Colombia,CB,72
Giovanni Zaro,Italy,CB,72
Arbër Zeneli,Kosovo,LM,72
Matthias Zimmermann,Germany,RB,72
Simon Zoller,Germany,ST,72
Peter Žulj,Austria,CM,72
Ali Abdi,Tunisia,LB,71
Ramón Ábila,Argentina,ST,71
Mohammed Abu Fani,Israel,CM,71
Bryan Acosta,Honduras,CDM,71
Bismark Adjei-Boateng,Ghana,CDM,71
Felix Afena-Gyan,Ghana,ST,71
Lucien Agoumé,France,CDM,71
Emanuel Aguilera,Argentina,CB,71
Juan Felipe Aguirre,Colombia,CB,71
Firas Al Birekan,Saudi Arabia,ST,71
Ali Al Bulayhi,Saudi Arabia,CB,71
Yasser Al Shahrani,Saudi Arabia,LB,71
Gabriel Alanís,Argentina,RM,71
Christos Albanis,Greece,LM,71
Antolín Alcáraz,Paraguay,CB,71
Romain Alessandrini,France,ST,71
Oberdan,Brazil,CDM,71
Ignacio Aliseda,Argentina,LM,71
Tadeo Allende,Argentina,RM,71
Miguel Lopes,Portugal,CB,71
João Pedro,Portugal,CM,71
Juan Álvarez,Argentina,RM,71
Lucas Lima,Brazil,LB,71
Emiliano Amor,Argentina,CB,71
Mads Juel Andersen,Denmark,CB,71
Andrés Andrade,Colombia,CAM,71
Fabrizio Angileri,Argentina,LB,71
Cristian Ansaldi,Argentina,LB,71
João Correia,Cape Verde Islands,RB,71
Barış Atik,Turkey,LW,71
Rob Atkinson,England,CB,71
Mathias Autret,France,LM,71
Gastón Ávila,Argentina,CB,71
Chidozie Awaziem,Nigeria,CB,71
Jean-Sylvain Babin,France,CB,71
Baek Sung Dong,Korea Republic,LM,71
Javier Báez,Paraguay,CB,71
Lewis Baker,England,CM,71
George Baldock,Greece,RWB,71
Daniel Ballard,Northern Ireland,CB,71
Josepmir Ballón,Peru,CDM,71
Leon Balogun,Nigeria,CB,71
Tudor Băluță,Romania,CDM,71
Abdoul Kader Bamba,France,LM,71
Mattia Bani,Italy,CB,71
Valentín Barco,Argentina,LB,71
Juan Barinaga,Argentina,RB,71
Aymen Barkok,Morocco,CAM,71
Daniel Barlaser,England,CDM,71
Ashley Barnes,England,ST,71
Pier Barrios,Argentina,CB,71
Daniele Baselli,Italy,CM,71
Christian Bassogog,Cameroon,ST,71
Gil Dias,Portugal,LM,71
Jelle Bataille,Belgium,RB,71
Alejandro Bedoya,United States,CM,71
Felix Beijmo,Sweden,RWB,71
Amari'i Bell,Jamaica,LWB,71
Mohamed Ali Ben Romdhane,Tunisia,CAM,71
Sofiane Bendebka,Algeria,CAM,71
Gaston Benedetti,Argentina,LB,71
László Bénes,Slovakia,CM,71
Jessy Benet,France,CM,71
Veton Berisha,Norway,ST,71
Matteo Bianchetti,Italy,CB,71
Jake Bidwell,England,LWB,71
Veljko Birmančević,Serbia,RW,71
Alexis Blin,France,CDM,71
Daniel Bocanegra,Colombia,CB,71
Yann Bodiger,France,CDM,71
Emil Bohinen,Norway,CM,71
Nicolai Boilesen,Denmark,CB,71
Marcos Bolados,Chile,RW,71
Franck Boli,Côte d'Ivoire,ST,71
Federico Bonazzoli,Italy,ST,71
Toni Borevković,Croatia,CB,71
Cristian Borja,Colombia,LB,71
Brandon Borrello,Australia,ST,71
Walter Bou,Argentina,ST,71
Bilal Boutobba,France,RM,71
Dedryck Boyata,Belgium,CB,71
Domagoj Bradarić,Croatia,LWB,71
Pedro Rebocho,Portugal,LB,71
Chumi,Spain,CB,71
James Bree,England,RWB,71
Norberto Briasco,Armenia,ST,71
Dylan Bronn,Tunisia,CB,71
Brugui,Spain,RM,71
John Buckley,England,CDM,71
Julio Buffarini,Argentina,RB,71
Ezequiel Bullaude,Argentina,CAM,71
Cristian Buonaiuto,Italy,LM,71
Brandon Bye,United States,RB,71
Jamie Bynoe-Gittens,England,LM,71
Sam Byram,England,LB,71
Ben Cabango,Wales,CB,71
Liberato Cacace,New Zealand,LB,71
Martín Cáceres,Uruguay,CB,71
Jhonder Cádiz,Venezuela,ST,71
Riccardo Calafiori,Italy,LB,71
Horacio Calcaterra,Peru,CM,71
Francisco Calvo,Costa Rica,CB,71
Camarasa,Spain,CM,71
Fali Candé,Guinea-Bissau,CB,71
Cao Yunding,China PR,LM,71
Pierrick Capelle,France,CM,71
Marc Cardona,Spain,ST,71
Óscar Cardozo,Paraguay,ST,71
Federico Carrizo,Argentina,CAM,71
Tiago Santos,Portugal,RB,71
Giuseppe Caso,Italy,LW,71
Fabián Castillo,Colombia,ST,71
Nicolás Eduardo Castro,Argentina,CM,71
Gonzalo Castro,Uruguay,LM,71
Pietro Ceccaroni,Italy,CB,71
Nathaniel Chalobah,England,CDM,71
Muhammed Cham,Austria,CAM,71
Conor Chaplin,England,CAM,71
Pep Chavarría,Spain,LB,71
Vlad Chiricheș,Romania,CB,71
Tahith Chong,Holland,RM,71
Cyrus Christie,Republic of Ireland,RB,71
Mojmír Chytil,Czech Republic,ST,71
Gojko Cimirot,Bosnia and Herzegovina,CDM,71
Jordan Clark,England,CM,71
Matt Clarke,England,CB,71
Jonson Clarke-Harris,Jamaica,ST,71
Matías Cóccaro,Uruguay,ST,71
Alex Cochrane,England,LB,71
Marcus Coco,France,RM,71
Vitinho,Brazil,CF,71
Timothé Cognat,France,CM,71
Michele Collocolo,Italy,CDM,71
Jairo Concha,Peru,CM,71
Cheick Conde,Guinea,CDM,71
Diego Coppola,Italy,CB,71
Córdoba,Spain,CB,71
Claudio Corvalán,Argentina,CB,71
Marquinhos,Brazil,CAM,71
Sebastián Cristóforo,Uruguay,CDM,71
Enzo Crivelli,France,ST,71
Matt Crooks,England,CM,71
Michaël Cuisance,France,CM,71
Antônio Carlos,Brazil,CB,71
Nuno da Costa,Cape Verde Islands,ST,71
Lucas Da Cunha,France,CAM,71
Rafael Silva,Brazil,ST,71
Vitinho,Brazil,RB,71
Willyan,Brazil,LW,71
Henrik Dalsgaard,Denmark,CB,71
Toni Datković,Croatia,CB,71
Keinan Davis,England,ST,71
Zeca,Brazil,ST,71
Konrad de la Fuente,United States,LM,71
Miguel,Spain,ST,71
Paulino,Spain,RM,71
Artur,Brazil,CDM,71
Matías de los Santos,Uruguay,CB,71
Anselmo,Brazil,CM,71
Casper De Norre,Belgium,CM,71
Tiago Esgaio,Portugal,RB,71
Marcos André,Brazil,ST,71
Zeno Debast,Belgium,CB,71
Harrison Delbridge,Australia,CB,71
Jessy Deminguet,France,CM,71
Cameron Devlin,Australia,CDM,71
Francesco Di Mariano,Italy,LW,71
Cassiano,Brazil,ST,71
Davide Diaw,Italy,ST,71
Daryl Dike,United States,ST,71
Papy Djilobodji,Senegal,CB,71
Aron Dønnum,Norway,LM,71
Iago,Brazil,CB,71
Alberto Dossena,Italy,CB,71
Désiré Doué,France,CAM,71
Flynn Downes,England,CDM,71
Callum Doyle,England,CB,71
Rade Dugalić,Serbia,CB,71
Milan Đurić,Bosnia and Herzegovina,ST,71
Enzo Ebosse,Cameroon,CB,71
Kingsley Ehizibue,Nigeria,RWB,71
Bilal El Khannouss,Morocco,CAM,71
Josip Elez,Croatia,CB,71
Elgezabal,Spain,CDM,71
Sergi Enrich,Spain,ST,71
Ramiro Enrique,Argentina,ST,71
Magnus Eriksson,Sweden,CM,71
Emeka Friday Eze,Nigeria,ST,71
César Falletti,Uruguay,CAM,71
Federico Fazio,Argentina,CB,71
Sofiane Feghouli,Algeria,RM,71
Gerso,Guinea-Bissau,LW,71
Bernardo,Brazil,CB,71
Paolo Fernandes,Spain,RM,71
Wesley,Brazil,ST,71
Facundo Ferreyra,Argentina,ST,71
Sam Field,England,CDM,71
Kilian Fischer,Germany,RB,71
John Fleck,Scotland,CM,71
Jonas Föhrenbach,Germany,LB,71
Lamine Fomba,France,CDM,71
Bartol Franjić,Croatia,CDM,71
Fabian Frei,Switzerland,CDM,71
César Fuentes,Chile,CDM,71
Jay Fulton,Scotland,CDM,71
Darnell Furlong,England,RB,71
Gianluca Gaetano,Italy,CAM,71
Konstantinos Galanopoulos,Greece,CDM,71
Antonino Gallo,Italy,LB,71
Santiago García,Argentina,CB,71
Nicolas Gavory,France,LB,71
Joe Gelhardt,England,ST,71
Agustín Giay,Argentina,RWB,71
