Name,Nation,Club,Position,Age,Overall
Fabián Castillo,Colombia,Colo-Colo,ST,31,71
Nicolás Eduardo Castro,Argentina,Platense,CM,33,71
Gonzalo Castro,Uruguay,Nacional,LM,39,71
Pietro Ceccaroni,Italy,Palermo,CB,27,71
Nathaniel Chalobah,England,West Brom,CDM,28,71
Muhammed Cham,Austria,Clermont Foot 63,CAM,23,71
Conor Chaplin,England,Ipswich,CAM,26,71
Pep Chavarría,Spain,Rayo Vallecano,LB,25,71
Vlad Chiricheș,Romania,FCSB,CB,33,71
Tahith Chong,Holland,Luton Town,RM,23,71
Cyrus Christie,Republic of Ireland,Hull City,RB,31,71
Mojmír Chytil,Czech Republic,Slavia Praha,ST,24,71
Gojko Cimirot,Bosnia and Herzegovina,Al Fayha,CDM,30,71
Jordan Clark,England,Luton Town,CM,30,71
Matt Clarke,England,Middlesbrough,CB,27,71
Jonson Clarke-Harris,Jamaica,Peterborough,ST,29,71
Matías Cóccaro,Uruguay,Huracán,ST,25,71
Alex Cochrane,England,Hearts,LB,23,71
Marcus Coco,France,FC Nantes,RM,27,71
Vitinho,Brazil,Ettifaq FC,CF,30,71
Timothé Cognat,France,Servette FC,CM,25,71
Michele Collocolo,Italy,Cremonese,CDM,23,71
Jairo Concha,Peru,Alianza Lima,CM,24,71
Cheick Conde,Guinea,FC Zürich,CDM,23,71
Diego Coppola,Italy,Hellas Verona,CB,19,71
Córdoba,Spain,Burgos CF,CB,28,71
Claudio Corvalán,Argentina,Unión,CB,34,71
Marquinhos,Brazil,Ferencvárosi TC,CAM,23,71
Sebastián Cristóforo,Uruguay,Peñarol,CDM,30,71
Enzo Crivelli,France,Servette FC,ST,28,71
Matt Crooks,England,Middlesbrough,CM,29,71
Michaël Cuisance,France,VfL Osnabrück,CM,24,71
Antônio Carlos,Brazil,Orlando City,CB,30,71
Nuno da Costa,Cape Verde Islands,Kasımpaşa,ST,32,71
Lucas Da Cunha,France,Como,CAM,22,71
Rafael Silva,Brazil,Jeonbuk Hyundai,ST,31,71
Vitinho,Brazil,Burnley,RB,24,71
Willyan,Brazil,FC Seoul,LW,29,71
Henrik Dalsgaard,Denmark,FC Midtjylland,CB,34,71
Toni Datković,Croatia,Albacete BP,CB,29,71
Keinan Davis,England,Udinese,ST,25,71
Zeca,Brazil,Pohang Steelers,ST,26,71
Konrad de la Fuente,United States,SD Eibar,LM,22,71
Miguel,Spain,CD Leganés,ST,24,71
Paulino,Spain,R. Oviedo,RM,26,71
Artur,Brazil,Houston Dynamo,CDM,27,71
Matías de los Santos,Uruguay,Colo-Colo,CB,30,71
Anselmo,Brazil,Al Wehda,CM,34,71
Casper De Norre,Belgium,Millwall,CM,26,71
Tiago Esgaio,Portugal,Arouca,RB,28,71
Marcos André,Brazil,R. Valladolid CF,ST,26,71
Zeno Debast,Belgium,RSC Anderlecht,CB,19,71
Harrison Delbridge,Australia,Incheon United,CB,31,71
Jessy Deminguet,France,Strasbourg,CM,25,71
Cameron Devlin,Australia,Hearts,CDM,25,71
Francesco Di Mariano,Italy,Palermo,LW,27,71
Cassiano,Brazil,Estoril Praia,ST,34,71
Davide Diaw,Italy,Bari,ST,31,71
Daryl Dike,United States,West Brom,ST,23,71
Papy Djilobodji,Senegal,Gaziantep,CB,34,71
Aron Dønnum,Norway,Toulouse FC,LM,25,71
Iago,Brazil,Al Shabab,CB,31,71
Alberto Dossena,Italy,Cagliari,CB,24,71
Désiré Doué,France,Stade Rennais FC,CAM,18,71
Flynn Downes,England,Southampton,CDM,24,71
Callum Doyle,England,Leicester City,CB,20,71
Rade Dugalić,Serbia,Meizhou Hakka,CB,30,71
Milan Đurić,Bosnia and Herzegovina,Hellas Verona,ST,33,71
Enzo Ebosse,Cameroon,Udinese,CB,24,71
Kingsley Ehizibue,Nigeria,Udinese,RWB,28,71
Bilal El Khannouss,Morocco,KRC Genk,CAM,19,71
Josip Elez,Croatia,Hajduk Split,CB,29,71
Elgezabal,Spain,Burgos CF,CDM,30,71
Sergi Enrich,Spain,Real Zaragoza,ST,33,71
Ramiro Enrique,Argentina,Orlando City,ST,22,71
Magnus Eriksson,Sweden,Djurgårdens IF,CM,33,71
Emeka Friday Eze,Nigeria,Pendikspor,ST,27,71
César Falletti,Uruguay,Ternana,CAM,30,71
Federico Fazio,Argentina,Salernitana,CB,36,71
Sofiane Feghouli,Algeria,Karagümrük SK,RM,33,71
Gerso,Guinea-Bissau,Incheon United,LW,32,71
Bernardo,Brazil,VfL Bochum,CB,28,71
Paolo Fernandes,Spain,AEK Athens,RM,25,71
Wesley,Brazil,Stoke City,ST,26,71
Facundo Ferreyra,Argentina,Sarmiento,ST,32,71
Sam Field,England,QPR,CDM,25,71
Kilian Fischer,Germany,VfL Wolfsburg,RB,22,71
John Fleck,Scotland,Sheffield Utd,CM,32,71
Jonas Föhrenbach,Germany,Heidenheim,LB,27,71
Lamine Fomba,France,AS Saint-Étienne,CDM,25,71
Bartol Franjić,Croatia,SV Darmstadt 98,CDM,23,71
Fabian Frei,Switzerland,FC Basel 1893,CDM,34,71
César Fuentes,Chile,Colo-Colo,CDM,30,71
Jay Fulton,Scotland,Swansea City,CDM,29,71
Darnell Furlong,England,West Brom,RB,27,71
Gianluca Gaetano,Italy,Napoli FC,CAM,23,71
Konstantinos Galanopoulos,Greece,AEK Athens,CDM,25,71
Antonino Gallo,Italy,Lecce,LB,23,71
Santiago García,Argentina,Alianza Lima,CB,35,71
Nicolas Gavory,France,Düsseldorf,LB,28,71
Joe Gelhardt,England,Leeds United,ST,21,71
Agustín Giay,Argentina,San Lorenzo,RWB,19,71
Daniel Giraldo,Colombia,Millonarios,CDM,31,71
Aníbal Godoy,Panama,Nashville SC,CDM,33,71
Thomas Goiginger,Austria,LASK,RM,30,71
Edoardo Goldaniga,Italy,Cagliari,CB,29,71
Pedro Malheiro,Portugal,Boavista FC,RB,22,71
Jérôme Gondorf,Germany,Karlsruher SC,CM,35,71
Luciano Gondou,Argentina,Argentinos Jrs.,ST,22,71
Luis González,Venezuela,Junior,LM,32,71
Giovanni González,Uruguay,RCD Mallorca,RWB,29,71
Quique,Spain,SD Eibar,LM,33,71
Gabriel Graciani,Argentina,Instituto,RM,30,71
José Gragera,Spain,RCD Espanyol,CDM,23,71
Karlan Grant,England,Cardiff City,ST,26,71
Jacob Greaves,England,Hull City,CB,23,71
Albert Grønbæk,Denmark,FK Bodø/Glimt,CAM,22,71
Ilia Gruev,Bulgaria,Leeds United,CDM,23,71
Robert Gumny,Poland,FC Augsburg,RB,25,71
Felipe Gutiérrez,Chile,Sporting KC,CM,33,71
Raúl Guti,Spain,Elche CF,CM,26,71
Nicolas Haas,Switzerland,FC Luzern,CM,27,71
Dennis Hadžikadunić,Bosnia and Herzegovina,Hamburger SV,CB,25,71
Craig Halkett,Scotland,Hearts,CB,28,71
Han Kook Young,Korea Republic,Gangwon FC,CM,33,71
Jens Petter Hauge,Norway,Frankfurt,LM,23,71
Isaac Hayden,England,Standard Liège,CDM,28,71
Dominique Heintz,Germany,1. FC Köln,CB,30,71
Michał Helik,Poland,Huddersfield,CB,28,71
Markus Henriksen,Norway,Rosenborg BK,CB,31,71
Valentin Henry,France,SM Caen,RB,30,71
Onel Hernández,Cuba,Norwich,LM,30,71
Edwin Herrera,Colombia,Junior,LB,25,71
Patrick Herrmann,Germany,M'gladbach,RM,32,71
Fredy Hinestroza,Colombia,Junior,LM,33,71
Andrew Hjulsager,Denmark,KAA Gent,CAM,28,71
André Hoffmann,Germany,Düsseldorf,CB,30,71
Alejandro Hohberg,Peru,Sporting Cristal,LW,32,71
Ryan Hollingshead,United States,LAFC,RB,32,71
Sebastian Holmén,Sweden,IF Elfsborg,CB,31,71
Lewis Holtby,Germany,Holstein Kiel,CM,33,71
Hong Jeong Ho,Korea Republic,Jeonbuk Hyundai,CB,34,71
Martin Hongla,Cameroon,Hellas Verona,CM,25,71
Tomi Horvat,Slovenia,SK Sturm Graz,CAM,24,71
Sascha Horvath,Austria,LASK,CAM,27,71
Cédric Hountondji,Benin,Angers SCO,CB,29,71
Michael Hoyos,Argentina,Independiente DV,ST,32,71
Ajdin Hrustić,Australia,Hellas Verona,CM,27,71
Shaun Hutchinson,England,Millwall,CB,32,71
Rareș Ilie,Romania,Lausanne-Sport,LM,20,71
Samuel Iling-Junior,England,Juventus,LM,20,71
Bonke Innocent,Nigeria,FC Lorient,CDM,27,71
Fotis Ioannidis,Greece,Panathinaikos,ST,23,71
Jairo,Spain,FC Cartagena,LM,29,71
Mato Jajalo,Bosnia and Herzegovina,Venezia,CDM,35,71
Tony Jantschke,Germany,M'gladbach,CB,33,71
Ardon Jashari,Switzerland,FC Luzern,CDM,21,71
Bakery Jatta,Gambia,Hamburger SV,RW,25,71
Elias Jelert,Denmark,F.C. København,RB,20,71
Fredrik Jensen,Finland,FC Augsburg,CAM,26,71
Jeong Seung Hyun,Korea Republic,Ulsan Hyundai,CB,29,71
Jeong Tae Wook,Korea Republic,Jeonbuk Hyundai,CB,26,71
Alexander Jeremejeff,Sweden,Panathinaikos,ST,29,71
Marco John,Germany,TSG Hoffenheim,LWB,21,71
Lasse Berg Johnsen,Norway,Malmö FF,CDM,24,71
Erik,Brazil,Al Ain FC,LB,22,71
Sebastian Jørgensen,Denmark,Malmö FF,RM,23,71
Dejan Joveljić,Serbia,LA Galaxy,ST,24,71
Lago Júnior,Côte d'Ivoire,R. Racing Club,LM,32,71
Matěj Jurásek,Czech Republic,Slavia Praha,LW,20,71
Christian Kabasele,Belgium,Udinese,CB,32,71
Damian Kądzior,Poland,Piast Gliwice,RM,31,71
Marcin Kamiński,Poland,FC Schalke 04,CB,31,71
Ismaël Kandouss,Morocco,KAA Gent,CB,25,71
Mohammed Kanno,Saudi Arabia,Al Hilal,CM,29,71
Adam Karabec,Czech Republic,Sparta Praha,LW,20,71
Mikkel Kaufmann,Denmark,Union Berlin,ST,22,71
Hayao Kawabe,Japan,Standard Liège,CM,28,71
Joris Kayembe,Congo DR,KRC Genk,LB,29,71
Edo Kayembe,Congo DR,Watford,CDM,25,71
Will Keane,Republic of Ireland,Preston,ST,30,71
Yannik Keitel,Germany,SC Freiburg,CDM,23,71
Olivier Kemen,Cameroon,Kayserispor,CM,27,71
Tobias Kempe,Germany,SV Darmstadt 98,CM,34,71
Henry Kessler,United States,New England,CB,25,71
Kim Dae Won,Korea Republic,Gangwon FC,LW,26,71
Kim Jin Su,Korea Republic,Jeonbuk Hyundai,LB,31,71
David Kinsombi,Germany,SC Paderborn 07,RM,27,71
Otar Kiteishvili,Georgia,SK Sturm Graz,CAM,27,71
Sonny Kittel,Germany,Raków,CF,30,71
Felix Klaus,Germany,Düsseldorf,RM,31,71
László Kleinheisler,Hungary,Panathinaikos,CAM,29,71
Jan Kliment,Czech Republic,Viktoria Plzeň,ST,30,71
Bautista Kociubinski,Argentina,Atlético Tucumán,CDM,22,71
Juan Cruz Komar,Argentina,Rosario Central,CB,27,71
Giannis Kotsiras,Greece,Panathinaikos,RB,30,71
Koffi Kouao,Côte d'Ivoire,FC Metz,RB,25,71
Anton Krivotsyuk,Azerbaijan,Daejeon Citizen,CB,25,71
Nicolas Kühn,Germany,SK Rapid Wien,RM,23,71
Saël Kumbedi,France,OL,RB,18,71
Solomon Kverkvelia,Georgia,Al Okhdood,CB,31,71
Roman Květ,Czech Republic,Sivasspor,CAM,25,71
Konstantinos Laifis,Cyprus,Standard Liège,CB,30,71
Ethan Laird,England,Birmingham City,RB,22,71
Sam Lammers,Holland,Rangers,CF,26,71
Johan Larsson,Sweden,IF Elfsborg,RB,33,71
Richie Laryea,Canada,Whitecaps FC,RB,28,71
Kevin Lasagna,Italy,Karagümrük SK,CF,31,71
Sandro Lauper,Switzerland,BSC Young Boys,CDM,26,71
Amor Layouni,Tunisia,BK Häcken,RW,31,71
Tim Leibold,Germany,Sporting KC,LB,29,71
Álvaro Lemos,Spain,UD Las Palmas,RB,30,71
Timo Letschert,Holland,GwangJu FC,CB,30,71
Jamal Lewis,Northern Ireland,Watford,LB,25,71
Gastón Lezcano,Argentina,Cobresal,RM,36,71
Jérémy Livolant,France,Bordeaux,LM,25,71
Robert Ljubicic,Croatia,Dinamo Zagreb,CM,24,71
Danny Loader,England,FC Porto,ST,23,71
Marius Lode,Norway,FK Bodø/Glimt,CB,30,71
Gastón Lódico,Argentina,Instituto,LM,25,71
Aaron Long,United States,LAFC,CB,30,71
Cadu,Brazil,Viktoria Plzeň,RB,26,71
Ricardo Lopes,Brazil,Suwon FC,ST,32,71
Lisandro López,Argentina,Sarmiento,ST,40,71
Renzo López,Uruguay,Tigre,ST,29,71
Matteo Lovato,Italy,Salernitana,CB,23,71
Nilson Loyola,Peru,Sporting Cristal,LB,28,71
Arnaud Lusamba,Congo DR,Pendikspor,CM,26,71
Francis Mac Allister,Argentina,Rosario Central,CDM,27,71
Koki Machida,Japan,R. Union St.-G.,CB,26,71
José Machín,Equatorial Guinea,Monza,CM,27,71
Vitolo,Spain,Atlético de Madrid,LM,33,71
Mads Emil Madsen,Denmark,AGF,CM,25,71
Jonatan Maidana,Argentina,River Plate,CB,38,71
Habib Maïga,Côte d'Ivoire,FC Metz,CDM,27,71
Róbert Mak,Slovakia,Sydney FC,LW,32,71
Antoine Makoumbou,Congo,Cagliari,CDM,25,71
Lennard Maloney,Germany,Heidenheim,CDM,24,71
Lucas Mancinelli,Argentina,Dep. Cuenca,LW,34,71
Million Manhoef,Holland,Vitesse,RM,21,71
Braydon Manu,Ghana,SV Darmstadt 98,ST,26,71
Agustín Martegani,Argentina,Salernitana,CAM,23,71
Mauricio Martínez,Argentina,LDU Quito,CDM,30,71
Fidel Martínez,Ecuador,Barcelona SC,RM,33,71
Damián Martínez,Argentina,Rosario Central,RB,33,71
Thiago Martins,Brazil,New York City FC,CB,28,71
Pedro Santos,Portugal,D.C. United,LB,35,71
Gastón Martirena,Uruguay,Racing Club,RB,23,71
Emmanuel Mas,Argentina,Colón,LB,34,71
Andrea Masiello,Italy,Südtirol,CB,37,71
Rabbi Matondo,Wales,Rangers,LW,23,71
Andreas Maxsø,Denmark,Colorado Rapids,CB,29,71
Youssef Maziz,France,OH Leuven,CAM,25,71
Nathanaël Mbuku,France,FC Augsburg,CF,21,71
Kyle McFadzean,England,Coventry City,CB,36,71
Luke McNally,Republic of Ireland,Stoke City,CB,24,71
Danny McNamara,Republic of Ireland,Millwall,RB,24,71
Maicol Medina,Colombia,Dep. Pereira,CDM,26,71
Jan Mejdr,Czech Republic,Sparta Praha,RWB,28,71
Jérémy Mellot,France,CD Tenerife,RB,29,71
Yorleys Mena,Colombia,UCV,ST,32,71
Houboulang Mendes,Guinea-Bissau,UD Almería,RB,25,71
Hernán Menosse,Uruguay,Peñarol,CB,36,71
Bernard Mensah,Ghana,Al Tai,CM,28,71
Jonathan Mensah,Ghana,SJ Earthquakes,CB,33,71
Chris Mepham,Wales,AFC Bournemouth,CB,25,71
Adrian Mierzejewski,Poland,Henan SSLM FC,CM,36,71
Valentin Mihăilă,Romania,Parma,LM,23,71
Antonio Milić,Croatia,Lech Poznań,CB,29,71
Kamal Miller,Canada,Inter Miami CF,CB,26,71
Enzo Millot,France,VfB Stuttgart,CAM,21,71
Alexander Milošević,Sweden,AIK,CB,31,71
Kento Misao,Japan,OH Leuven,CDM,27,71
Samy Mmaee,Morocco,Ferencvárosi TC,CB,27,71
Brede Mathias Moe,Norway,FK Bodø/Glimt,CB,31,71
Anuar,Morocco,R. Valladolid CF,CM,28,71
Tobias Mølgaard,Denmark,AGF,CB,27,71
Jayson Molumby,Republic of Ireland,West Brom,CDM,24,71
Júnior Moreno,Venezuela,FC Cincinnati,CDM,30,71
Didier Moreno,Colombia,Junior,CDM,32,71
Santiago Moreno,Colombia,Portland Timbers,RM,23,71
Stefano Moreo,Italy,Pisa,ST,30,71
Mateu Morey,Spain,Borussia Dortmund,RB,23,71
Sam Morsy,Egypt,Ipswich,CDM,32,71
Dairon Mosquera,Colombia,Santa Fe,LB,31,71
Jherson Mosquera,Colombia,Newell's,RB,24,71
Mosquera,Spain,AD Alcorcón,CDM,35,71
Alex Mowatt,England,West Brom,CM,28,71
Pelly-Ruddock Mpanzu,Congo DR,Luton Town,CM,29,71
Bali Mumba,England,Plymouth Argyle,LWB,22,71
Jesús Murillo,Colombia,LAFC,CB,29,71
Sei Muroya,Japan,Hannover 96,RWB,29,71
Adamo Nagalo,Burkina Faso,FC Nordsjælland,CB,21,71
Kal Naismith,Scotland,Bristol City,CB,31,71
Robert Navarro,Spain,Cádiz CF,LW,21,71
Umut Nayir,Turkey,Fenerbahçe,ST,30,71
Tsiy-William Ndenge,Cameroon,Grasshopper Club,CDM,26,71
Ionuț Nedelcearu,Romania,Palermo,CB,27,71
Jessic Ngankam,Germany,Frankfurt,ST,23,71
Nathan Ngoumou,France,M'gladbach,RM,23,71
Ibrahima Niane,Senegal,Angers SCO,ST,24,71
Fer Niño,Spain,Burgos CF,ST,22,71
Clinton Njie,Cameroon,Sivasspor,RM,30,71
Niels Nkounkou,France,Frankfurt,LB,22,71
Olivier Ntcham,Cameroon,Samsunspor,CM,27,71
Randy Nteka,France,Rayo Vallecano,ST,25,71
Marcelino Núñez,Chile,Norwich,CM,23,71
Christoffer Nyman,Sweden,IFK Norrköping,ST,31,71
Aiden O'Neill,Australia,Standard Liège,CDM,25,71
Oh Hyun Gyu,Korea Republic,Celtic,ST,22,71
Jores Okore,Denmark,Changchun Yatai,CB,31,71
Darius Olaru,Romania,FCSB,CM,25,71
Marquinhos,Brazil,FC Nantes,RW,20,71
Jérôme Onguéné,Cameroon,Servette FC,CB,25,71
Christopher Operi,Côte d'Ivoire,Havre AC,LB,26,71
Jerome Opoku,England,Başakşehir,CB,24,71
Nicolás Orsini,Argentina,Unión,ST,29,71
Cristian Ortiz,Argentina,Barcelona SC,CAM,31,71
Ben Osborn,England,Sheffield Utd,LWB,29,71
Sergio Otálvaro,Colombia,Olimpia,RB,36,71
Berat Özdemir,Turkey,Trabzonspor,CM,25,71
Oğuzhan Özyakup,Turkey,Fortuna Sittard,CM,31,71
Kenneth Paal,Suriname,QPR,LB,26,71
Walmer Pacheco,Colombia,Junior,RB,28,71
Pacheco,Spain,Real Sociedad,CB,22,71
Nelson Palacio,Colombia,Real Salt Lake,CM,22,71
Erik Palmer-Brown,United States,Panathinaikos,CB,26,71
Aleksandar Paločević,Serbia,FC Seoul,CM,30,71
Felipe Pardo,Colombia,Indep. Medellín,RM,33,71
Park Ji Soo,Korea Republic,Wuhan 3 Towns,CB,29,71
Park Jin Seob,Korea Republic,Jeonbuk Hyundai,CDM,27,71
Anthony Partipilo,Italy,Parma,CF,28,71
Facundo Pellistri,Uruguay,Manchester Utd,RW,21,71
Ricardo Pepi,United States,PSV,ST,20,71
Henrique Araújo,Portugal,FC Famalicão,ST,21,71
Matheus Pereira,Brazil,SD Eibar,CDM,25,71
Fabio Pereyra,Argentina,Huracán,CB,33,71
Pablo Pérez,Argentina,Newell's,CM,38,71
Hernán Pérez,Paraguay,Gral. Caballero,RM,34,71
Martín Pérez Guedes,Argentina,Universitario,CM,32,71
Elvis Perlaza,Colombia,Millonarios,RB,34,71
Gaëtan Perrin,France,AJ Auxerre,LM,27,71
Máximo Perrone,Argentina,UD Las Palmas,CM,20,71
Gino Peruzzi,Argentina,Alianza Lima,RB,31,71
Marvin Pieringer,Germany,Heidenheim,ST,24,71
Erik Pieters,Holland,West Brom,CB,35,71
Samuel Piette,Canada,CF Montréal,CDM,28,71
Mario Pineida,Ecuador,Barcelona SC,LB,31,71
Kaio Jorge,Brazil,Frosinone,ST,21,71
Ezequiel Piovi,Argentina,LDU Quito,CDM,31,71
Lorenzo Pirola,Italy,Salernitana,CB,21,71
Felix Platte,Germany,SC Paderborn 07,ST,27,71
Ryan Porteous,Scotland,Watford,CB,24,71
Abdón Prats,Spain,RCD Mallorca,ST,30,71
Smail Prevljak,Bosnia and Herzegovina,Hertha Berlin,ST,28,71
Jack Price,England,Colorado Rapids,CDM,30,71
Kai Pröger,Germany,Hansa Rostock,RM,31,71
Davy Pröpper,Holland,Vitesse,CM,32,71
Pubill,Spain,UD Almería,RB,20,71
Mateo Puerta,Colombia,Águilas Doradas,RB,26,71
Quiles,Spain,Albacete BP,LM,28,71
Jeisson Quiñones,Colombia,Águilas Doradas,CB,26,71
Julián Quiñónes,Colombia,Deportes Tolima,CB,33,71
Juan Quintero,Colombia,Dep. Pereira,CB,28,71
José Quintero,Ecuador,LDU Quito,RB,33,71
Piero Quispe,Peru,Universitario,CAM,22,71
Dani Raba,Spain,CD Leganés,RM,27,71
Jesurun Rak-Sakyi,England,Crystal Palace,RW,21,71
Benito Raman,Belgium,RSC Anderlecht,ST,28,71
Juan Ramírez,Argentina,Boca Juniors,CM,30,71
Ignacio Ramírez,Uruguay,Nacional,ST,26,71
Juanpe,Spain,Girona FC,CB,32,71
Luca Ravanelli,Italy,Cremonese,CB,26,71
Federico Redondo,Argentina,Argentinos Jrs.,CM,20,71
Ferro,Portugal,Hajduk Split,CB,26,71
Pablo Santos,Brazil,Al Raed,CB,31,71
Radim Řezník,Czech Republic,Viktoria Plzeň,RB,34,71
Federico Ricca,Uruguay,OH Leuven,CB,28,71
Matteo Ricci,Italy,Sampdoria,CDM,29,71
Renaud Ripart,France,ESTAC Troyes,RW,30,71
Jesús David Rivas,Colombia,Águilas Doradas,CM,26,71
Patrick Roberts,England,Sunderland,RM,26,71
Kirian,Spain,UD Las Palmas,CM,27,71
Yonathan Rodríguez,Uruguay,Nacional,CDM,30,71
Alan Rodríguez,Uruguay,Argentinos Jrs.,CM,23,71
Mads Roerslev,Denmark,Brentford,RWB,24,71
Marko Rog,Croatia,Cagliari,CM,28,71
Agustín Rogel,Uruguay,Hertha Berlin,CB,25,71
Marcus Rohdén,Sweden,Karagümrük SK,CM,32,71
Ariel Rojas,Argentina,Belgrano,CM,37,71
Maximiliano Romero,Argentina,Racing Club,ST,24,71
Iván Rossi,Argentina,Platense,CDM,29,71
Joe Rothwell,England,AFC Bournemouth,CM,28,71
Patricio Rubio,Chile,Ñublense,ST,34,71
Miguel Rubio,Spain,Granada CF,CB,25,71
Modibo Sagnan,France,FC Utrecht,CB,24,71
Borja Sainz,Spain,Norwich,LM,22,71
Koki Saito,Japan,Sparta Rotterdam,LM,22,71
Hamza Sakhi,Morocco,Melbourne City,CM,27,71
Bartosz Salamon,Poland,Lech Poznań,CB,32,71
Víctor Salazar,Argentina,Olimpia,RB,30,71
Freddy Salazar,Colombia,Águilas Doradas,RW,28,71
Tobias Salquist,Denmark,Silkeborg IF,CB,28,71
Junior Sambia,France,Salernitana,RWB,27,71
Matisse Samoise,Belgium,KAA Gent,RM,21,71
Francisco Moura,Portugal,FC Famalicão,LB,24,71
Mario Sampirisi,Italy,Reggiana,RWB,30,71
Carlos Sánchez,Colombia,San Lorenzo,CDM,37,71
Ricard,Spain,Granada CF,RB,23,71
Arouna Sangante,Senegal,Havre AC,CB,21,71
Rúben Fernandes,Portugal,Gil Vicente,CB,37,71
Aitor Sanz,Spain,CD Tenerife,CDM,39,71
Marcelo Saracchi,Uruguay,Boca Juniors,LB,25,71
Yusuf Sarı,Turkey,Adana Demirspor,RW,24,71
Bouna Sarr,Senegal,FC Bayern München,RB,31,71
Vincent Sasso,France,Boavista FC,CB,32,71
Joan Sastre,Spain,PAOK FC,RB,26,71
Andreas Schjelderup,Norway,FC Nordsjælland,LM,19,71
Fabian Schleusener,Germany,Karlsruher SC,ST,31,71
Niklas Schmidt,Germany,Toulouse FC,CAM,25,71
David Schnegg,Austria,SK Sturm Graz,LB,25,71
Rasmus Schüller,Finland,Djurgårdens IF,CDM,32,71
Mats Seuntjens,Holland,FC Utrecht,ST,31,71
Shin Jin Ho,Korea Republic,Incheon United,CM,35,71
Otabek Shukurov,Uzbekistan,Karagümrük SK,CM,27,71
Abdallah Sima,Senegal,Rangers,ST,22,71
David Simão,Portugal,Arouca,CM,33,71
Dimitrios Siovas,Greece,Fortuna Sittard,CB,35,71
Ibrahim Sissoko,France,AS Saint-Étienne,ST,27,71
Tim Skarke,Germany,SV Darmstadt 98,RM,27,71
Michał Skóraś,Poland,Club Brugge,RM,23,71
Eric Smith,Sweden,FC St. Pauli,CB,26,71
Tommy Smith,England,Middlesbrough,RB,31,71
Hrvoje Smolčić,Croatia,Frankfurt,CB,23,71
Brandon Soppy,France,Torino,RWB,21,71
Santiago Sosa,Argentina,Atlanta United,CDM,24,71
Matías Soulé,Argentina,Frosinone,RM,20,71
Hélder Costa,Angola,Leeds United,RM,29,71
Kamal Sowah,Ghana,Standard Liège,ST,23,71
Ali Sowe,Gambia,MKE Ankaragücü,ST,29,71
Carlos Strandberg,Sweden,Hatayspor,ST,27,71
Callum Styles,Hungary,Barnsley,LWB,23,71
Cristián Suárez,Chile,Palestino,CB,36,71
Alex Suárez,Spain,UD Las Palmas,RB,30,71
Sam Surridge,England,Nashville SC,ST,25,71
Gastón Suso,Argentina,Platense,CB,32,71
Stratos Svarnas,Greece,Raków,CB,25,71
Mamadou Sylla,Senegal,R. Valladolid CF,ST,29,71
Oleksandr Syrota,Ukraine,Dynamo Kyiv,CB,23,71
Tang Miao,China PR,Rongcheng FC,RWB,32,71
Iván Tapia,Argentina,Barracas Central,CAM,24,71
Stanislav Tecl,Czech Republic,Slavia Praha,ST,33,71
Bryan Teixeira,Cape Verde Islands,SK Sturm Graz,ST,23,71
Mathys Tel,France,FC Bayern München,ST,18,71
Renzo Tesuri,Argentina,Atlético Tucumán,RM,27,71
Benjamin Tetteh,Ghana,FC Metz,ST,26,71
Isaac Kiese Thelin,Sweden,Malmö FF,ST,31,71
Brandon Thomas,Spain,PAOK FC,ST,28,71
Erik Thommy,Germany,Sporting KC,CM,29,71
Jón Dagur Þorsteinsson,Iceland,OH Leuven,LM,24,71
Mads Døhr Thychosen,Denmark,AIK,RB,26,71
Frederik Tingager,Denmark,AGF,CB,30,71
Anton Tinnerholm,Sweden,Malmö FF,RB,32,71
Harry Toffolo,England,Nott'm Forest,LB,28,71
John Tolkin,United States,Red Bulls,LB,21,71
Nouhou,Cameroon,Sounders FC,LB,26,71
Lorenzo Tonelli,Italy,Empoli,CB,33,71
Ernesto Torregrossa,Venezuela,Pisa,ST,31,71
Ahmed Touba,Algeria,Lecce,CB,25,71
El Bilal Touré,Mali,Bergamo Calcio,ST,22,71
Conor Townsend,England,West Brom,LB,30,71
Adama Traoré,Mali,Hull City,CAM,28,71
Luca Tremolada,Italy,Modena,CAM,31,71
Ruan,Brazil,Sassuolo,CB,24,71
Zlatko Tripić,Norway,Viking FK,LW,30,71
Sondre Tronstad,Norway,Blackburn Rovers,CM,28,71
William Troost-Ekong,Nigeria,PAOK FC,CB,30,71
Franco Troyansky,Argentina,Lanús,ST,26,71
Scott Twine,England,Hull City,CAM,24,71
Anthony Ujah,Nigeria,Braunschweig,ST,32,71
Jere Uronen,Finland,Charlotte FC,LB,29,71
Gerard Valentín,Spain,SD Huesca,RM,30,71
Emanuele Valeri,Italy,Cremonese,LM,24,71
Yan Valery,Tunisia,Angers SCO,CB,24,71
Mattia Valoti,Italy,Pisa,CM,30,71
Mitchell van Bergen,Holland,FC Twente,RM,24,71
Jan Paul van Hecke,Holland,Brighton,CB,23,71
Leonel Vangioni,Argentina,Newell's,LB,36,71
Zinho Vanheusden,Belgium,Standard Liège,CB,24,71
Juan Pablo Vargas,Costa Rica,Millonarios,CB,28,71
Jhonny Vásquez,Colombia,Dep. Pereira,CDM,36,71
Larry Vásquez,Colombia,Millonarios,CDM,32,71
Luis Vázquez,Argentina,RSC Anderlecht,ST,22,71
Jesús Vázquez,Spain,Valencia CF,LB,20,71
